Sample,Label
"[[0.78621894 0.87021947 0.7801042 0.87738633 0.77937704 0.8753842
  0.7547425 0.86347234 0.75545913 0.86047244 0.7497095 0.8122004
  0.7793317 0.81107634 0.7556961 0.68825954 0.7984366 0.69402623
  0.78506917 0.6002404 0.8078833 0.5847824 0.7335595 0.5786643 0.74406546
  0.5759433 0.7438633 0.43917832 0.77175796 0.43098912 0.72000456
  0.33020774 0.7472891 0.30311382]
 [0.7752273 0.87912154 0.7615156 0.88218987 0.7638898 0.880481 0.74586654
  0.85848904 0.7511187 0.8573169 0.74968785 0.8038533 0.78395736 0.803237
  0.7541457 0.68630564 0.78687453 0.68783003 0.78530014 0.6061284
  0.8075648 0.59034526 0.72953904 0.571646 0.74228215 0.5710942
  0.74337554 0.4428535 0.77108294 0.43309897 0.7234162 0.32902282
  0.7496727 0.30223575]
 [0.65791464 0.8615759 0.6403765 0.85983056 0.64234 0.8587276 0.64424956
  0.82822734 0.64882606 0.82355535 0.6637171 0.7666503 0.6844162
  0.7744477 0.69224685 0.68377215 0.7217392 0.6856886 0.7291548 0.6884466
  0.7901994 0.71407306 0.7270101 0.57550037 0.7418041 0.5790505 0.7306059
  0.4471674 0.7649825 0.4385297 0.7114508 0.33847886 0.74507207
  0.30224854]
 [0.54132265 0.77455133 0.52862275 0.76944464 0.53124213 0.7663692
  0.53488195 0.73544174 0.5422985 0.73210037 0.5913943 0.6947869
  0.6027291 0.7044656 0.7022276 0.6816055 0.7106003 0.692023 0.7901218
  0.682101 0.8155894 0.6921408 0.7280047 0.58369136 0.73758084 0.5865065
  0.74445266 0.4423315 0.7665231 0.440847 0.7279879 0.32124206 0.75518066
  0.28303623]
 [0.521145 0.7424197 0.50864214 0.7340311 0.5115783 0.73260033 0.51677644
  0.69815624 0.5259966 0.6977486 0.5847951 0.66713166 0.6019258
  0.68908525 0.7118175 0.68287224 0.7222099 0.69837147 0.79206264
  0.6794815 0.81715596 0.69587183 0.72813916 0.56653726 0.7380696
  0.5730385 0.7438257 0.43495047 0.76785713 0.43700546 0.73842996
  0.30998874 0.75618356 0.2871952]
 [0.5205153 0.73893803 0.5082601 0.72613037 0.51169217 0.73075855
  0.5174472 0.68950826 0.5291701 0.7001191 0.5846698 0.65937793 0.6073484
  0.6893572 0.70897657 0.67625654 0.72238165 0.6964694 0.7933867
  0.6752259 0.8159955 0.6934012 0.72976196 0.5669021 0.740018 0.5740442
  0.7417071 0.43449324 0.7698502 0.4366628 0.73749334 0.3121878 0.7570388
  0.2910284]
 [0.5190677 0.71826696 0.508325 0.69669956 0.5108985 0.7153321 0.5222351
  0.65730506 0.52837384 0.6988419 0.5875427 0.65289176 0.60725754 0.68975
  0.7048517 0.6772336 0.72163385 0.7028062 0.775963 0.66853815 0.8150043
  0.69470775 0.7281656 0.57046497 0.74183947 0.5883059 0.7386119
  0.43894136 0.7641422 0.4414088 0.7389663 0.31572512 0.76076066
  0.29355073]
 [0.521278 0.7216146 0.50879055 0.7000948 0.511155 0.7164034 0.52145344
  0.6578263 0.52803946 0.6982157 0.58732474 0.6518457 0.6036337 0.6894647
  0.70700634 0.67513466 0.7203672 0.701022 0.7797047 0.6665806 0.8143719
  0.69443417 0.7294371 0.57246727 0.74163646 0.59141415 0.73757935
  0.4401573 0.7642504 0.4416954 0.73369765 0.32265353 0.759843 0.29426342]
 [0.5293821 0.7450909 0.5162017 0.7321997 0.5203182 0.7370134 0.52375716
  0.69314283 0.5336845 0.70894885 0.588246 0.6550585 0.61029935
  0.69642144 0.711257 0.6791466 0.72423166 0.69827473 0.7899659 0.6752396
  0.81222963 0.6956828 0.7309272 0.5719525 0.7436665 0.58740115 0.7389074
  0.43753406 0.7699024 0.4397924 0.7371955 0.31800413 0.7614913
  0.28233922]
 [0.5355601 0.75772953 0.5225039 0.7503419 0.5252635 0.7485433 0.52919155
  0.71369135 0.5386765 0.7112395 0.58885354 0.67164016 0.60507834
  0.6967798 0.7107366 0.6778547 0.72108346 0.6938454 0.7884674 0.67807394
  0.81083876 0.69410056 0.72668517 0.57558095 0.7400825 0.583727
  0.7419962 0.4411512 0.7687287 0.43902996 0.7313284 0.3212426 0.75728333
  0.2837562]
 [0.5356982 0.75442 0.5209801 0.7498795 0.5235025 0.74213743 0.52803195
  0.71117127 0.5337468 0.7005851 0.58700454 0.67273337 0.6049518
  0.6971676 0.71140826 0.6813066 0.72135663 0.69730896 0.7867667
  0.6713523 0.8133106 0.6934809 0.7279804 0.57735896 0.7388626 0.5850418
  0.7406613 0.43968314 0.76878273 0.43788132 0.73212075 0.3256681 0.75711
  0.2959116]
 [0.5264522 0.73449135 0.5123053 0.7351381 0.5157543 0.7186093 0.52015954
  0.7045813 0.5280006 0.67985964 0.5825701 0.66942304 0.60685736
  0.6881153 0.7081083 0.6847369 0.71975654 0.6973526 0.7782655 0.679257
  0.81076384 0.6957307 0.72588813 0.5765611 0.73753 0.58256555 0.74179685
  0.43509343 0.7695196 0.43544725 0.73651797 0.31902888 0.75914705
  0.28776047]
 [0.5244836 0.7302153 0.5105212 0.72556615 0.51455796 0.71536946
  0.5203596 0.6904832 0.529009 0.6772463 0.5842067 0.661056 0.6067718
  0.685757 0.71252596 0.6790048 0.72365165 0.69114655 0.78010154
  0.6787312 0.81422764 0.6948887 0.7263406 0.568563 0.7387674 0.5743927
  0.739755 0.43042475 0.76846474 0.42942882 0.7361138 0.3117247
  0.75826854 0.28226337]
 [0.51316535 0.7342632 0.5015684 0.7240874 0.5051923 0.7202534 0.5132449
  0.6903031 0.52276444 0.686136 0.5850929 0.66235816 0.6040131 0.68628997
  0.71169573 0.67806584 0.72128075 0.69277877 0.7816322 0.6778956
  0.8114342 0.6941618 0.7279924 0.56972164 0.738603 0.57555604 0.7411467
  0.43203422 0.769044 0.43088025 0.73644876 0.3123003 0.7588565
  0.28073615]
 [0.52169245 0.7222683 0.50912476 0.7016242 0.51113534 0.7173211
  0.52018833 0.6587871 0.52705383 0.69917494 0.5857872 0.65280044
  0.6032207 0.6888455 0.7059488 0.6781352 0.7216208 0.70295084 0.7752532
  0.6698847 0.81594944 0.6944672 0.7277807 0.56860805 0.74026567
  0.58673614 0.7393196 0.4365322 0.7652599 0.44114906 0.7374617 0.3137061
  0.7613929 0.2834421]
 [0.5199582 0.73780686 0.50856125 0.72438943 0.51214355 0.72788054
  0.5196936 0.69053864 0.53093874 0.70091194 0.5864911 0.66533816 0.60923
  0.6875634 0.71008795 0.68098766 0.7228729 0.69951934 0.79169255
  0.6789498 0.81540644 0.6957954 0.72975206 0.56306267 0.74130714
  0.5696482 0.7422286 0.43315053 0.76906306 0.4331313 0.7374776
  0.31271133 0.7611538 0.27751547]
 [0.52953917 0.7452815 0.51683766 0.7367682 0.5194387 0.73364145
  0.5253931 0.6996749 0.5341163 0.6974227 0.588287 0.67242527 0.6113185
  0.69057345 0.71020573 0.68131876 0.7242675 0.69516605 0.79200524
  0.67857194 0.8159899 0.6945883 0.7289609 0.5750808 0.74015445
  0.57814056 0.7406092 0.4390469 0.76891726 0.4379286 0.7353145
  0.31555435 0.75962 0.28476268]
 [0.58158326 0.7951028 0.5675302 0.79947424 0.5676674 0.781981 0.5694054
  0.77874494 0.5713599 0.7438771 0.6110662 0.7271807 0.6197767 0.71812844
  0.7125065 0.68389803 0.7264901 0.68287516 0.77243954 0.7158604
  0.8118824 0.6961315 0.7311763 0.57904685 0.7378251 0.56913525 0.7403185
  0.44426242 0.76464474 0.44173926 0.72476745 0.3310282 0.75296235
  0.28290966]]",Bhujangasana
"[[0.5703675 0.6776938 0.5562466 0.69004935 0.557166 0.6661326 0.55799896
  0.7083758 0.5602489 0.6450026 0.6249305 0.72873044 0.6238374 0.6111809
  0.7269273 0.7456262 0.70378184 0.5969512 0.7940694 0.72605944 0.7827766
  0.6042517 0.7487713 0.6961444 0.7420092 0.63567495 0.76809037 0.705184
  0.7806509 0.61956084 0.8652615 0.6674614 0.85814935 0.6142839]
 [0.5502637 0.66776794 0.5398862 0.68018913 0.54025096 0.65783346
  0.54592437 0.6971925 0.5489876 0.6383553 0.61512405 0.7255936 0.6201966
  0.61066055 0.69006336 0.76206124 0.69196415 0.5776508 0.75808376
  0.77122474 0.7423859 0.57630295 0.741372 0.7080948 0.7388631 0.64172995
  0.75796694 0.7225843 0.76144505 0.6074376 0.8652846 0.68266666
  0.8695797 0.6094364]
 [0.5732584 0.68039894 0.55867046 0.69021064 0.5596836 0.6697877
  0.5580801 0.7059817 0.56204516 0.64830416 0.60334927 0.73159075
  0.6031378 0.6229302 0.65086377 0.79885364 0.66036135 0.5599816 0.680936
  0.82475114 0.699602 0.5986953 0.7338203 0.71041054 0.7453091 0.6382035
  0.6882598 0.78397614 0.7261785 0.6110195 0.7833749 0.7083866 0.79019517
  0.73460203]
 [0.53302026 0.6783943 0.5221519 0.6882818 0.52329487 0.66463023
  0.5261061 0.70515937 0.5312647 0.644473 0.5940236 0.73275167 0.6044994
  0.6146502 0.6686216 0.766941 0.70413035 0.59565413 0.75364554 0.8027158
  0.7819004 0.57221675 0.74399817 0.72550076 0.751397 0.66838646
  0.77641714 0.7963434 0.7554857 0.5895238 0.8087783 0.7441533 0.81961846
  0.64698744]
 [0.5292208 0.6726375 0.516738 0.684856 0.5175968 0.66039914 0.52234274
  0.70191187 0.5257178 0.6417752 0.59059846 0.72755915 0.5954559
  0.61151594 0.6538512 0.7548253 0.6647566 0.5994785 0.7229308 0.79608285
  0.7364636 0.5895393 0.72618854 0.7094734 0.7336615 0.64405257 0.7601887
  0.777984 0.7492318 0.6000588 0.8064745 0.73246986 0.81157243 0.70764834]
 [0.5269142 0.68406594 0.51629996 0.6935388 0.5160985 0.67057633
  0.5205002 0.7088451 0.5250941 0.6493766 0.5880457 0.73150104 0.5894777
  0.61731315 0.65065974 0.7650357 0.6708496 0.6008604 0.7235643 0.8014494
  0.7337728 0.59027195 0.7227403 0.7138397 0.7304887 0.6441432 0.7534623
  0.7814959 0.74863 0.5972842 0.79887444 0.7379704 0.81350595 0.6885427]
 [0.5286296 0.681224 0.51796705 0.69112676 0.5178034 0.6676752 0.5212086
  0.7071815 0.5253265 0.6487341 0.58807087 0.7295479 0.5894759 0.6163665
  0.64945626 0.76341623 0.6696886 0.59938025 0.7238321 0.8015199
  0.73548377 0.5860246 0.72344095 0.71380097 0.7316827 0.6453544
  0.75192344 0.77946204 0.7484895 0.59763205 0.79844266 0.72785276
  0.8071951 0.68692946]
 [0.52838284 0.6829867 0.51805305 0.6930392 0.51745796 0.6701096
  0.52174026 0.70898575 0.5250298 0.6498686 0.5875078 0.73072195
  0.5886425 0.61736906 0.64952815 0.7641465 0.6672814 0.59919053
  0.7221429 0.8020805 0.7321773 0.58588886 0.72351736 0.7155414 0.73039
  0.6457515 0.74945986 0.77848977 0.7482675 0.5956596 0.7984441
  0.72802347 0.8073985 0.6629604]
 [0.5281849 0.6843992 0.517837 0.69369423 0.51718885 0.6710869 0.52181125
  0.7083632 0.52528524 0.6498655 0.58762795 0.7303658 0.5899684 0.6173748
  0.65025455 0.7644591 0.6675764 0.5989036 0.7234296 0.8037581 0.7268675
  0.5894233 0.7217017 0.7156249 0.7280126 0.6465154 0.74706054 0.7793915
  0.74779165 0.5952942 0.7978303 0.72285265 0.80366343 0.68780017]
 [0.52547956 0.68109286 0.5135848 0.6909875 0.5154318 0.66805696
  0.5206294 0.70636725 0.52519643 0.64791083 0.58662546 0.7291828
  0.58979607 0.61657447 0.6494672 0.7644701 0.6674466 0.59935045
  0.7234862 0.8056569 0.73166764 0.5854154 0.7210904 0.7162544 0.7281812
  0.64869684 0.7418158 0.7878313 0.74787754 0.5932202 0.79658026
  0.72305053 0.80482495 0.6873723]
 [0.52795434 0.680676 0.5174491 0.6902191 0.517116 0.66726494 0.5218535
  0.7065745 0.5248778 0.6482794 0.5869571 0.7294956 0.59018904 0.616771
  0.65060383 0.76512134 0.66586304 0.5994348 0.7234936 0.8055402
  0.72751653 0.5887277 0.7191165 0.71681523 0.7276955 0.64844096
  0.73156124 0.7794987 0.74705654 0.59367776 0.79638803 0.72296494
  0.80417556 0.69215757]
 [0.5260471 0.6798015 0.5162148 0.6896279 0.5157359 0.66648847 0.5215431
  0.7063367 0.5243541 0.64754057 0.58664125 0.729293 0.58969736 0.6161888
  0.6508994 0.7653208 0.6677249 0.5988675 0.722689 0.80604464 0.728889
  0.58592904 0.71963793 0.71731794 0.72652686 0.6483948 0.7311938
  0.7785737 0.747596 0.5943112 0.7965936 0.7233075 0.8031408 0.6898572]
 [0.52979916 0.6718437 0.5191331 0.6821268 0.5194798 0.65951467 0.5235225
  0.7007148 0.5272184 0.64291495 0.5876985 0.7270839 0.5940093 0.6141534
  0.6493034 0.76484495 0.6741973 0.5991305 0.71872014 0.80558735
  0.72941434 0.5872853 0.72018653 0.7152792 0.7290252 0.6493091
  0.73956037 0.77727765 0.74787223 0.5952966 0.7967656 0.72405505
  0.80127156 0.6928517]
 [0.53452057 0.6569803 0.5235643 0.6683967 0.52758133 0.64626604
  0.52590644 0.68973625 0.5368018 0.63240105 0.5882024 0.7232037
  0.60333216 0.6107408 0.6516209 0.76468086 0.6726437 0.5966418
  0.72115844 0.80416155 0.7351396 0.58598197 0.7220874 0.72194844
  0.731918 0.6548081 0.7398778 0.7735213 0.7498354 0.5950454 0.79742795
  0.7238194 0.8032068 0.71122086]
 [0.5552862 0.68890613 0.5418996 0.70067316 0.5413382 0.6787456
  0.54282767 0.71443534 0.5420203 0.6577653 0.6045365 0.7270902 0.6036026
  0.61433643 0.6859192 0.72931474 0.6789379 0.600532 0.7470876 0.7137523
  0.7411091 0.6270338 0.74205863 0.700986 0.7449333 0.6418365 0.7328985
  0.77645963 0.7200358 0.5812161 0.7912097 0.7076117 0.79720557
  0.64476943]
 [0.58526343 0.6742199 0.5710109 0.68835825 0.5720578 0.6641004
  0.56530654 0.70495236 0.5625617 0.64626336 0.605745 0.72560453
  0.58589447 0.6072786 0.67703724 0.7684426 0.64615864 0.54742825
  0.70554256 0.7243954 0.6809387 0.59208024 0.7428216 0.6917088 0.7348374
  0.62332237 0.7412892 0.7998232 0.71213657 0.58119303 0.8136766
  0.6660785 0.80350405 0.6330504]
 [0.61357474 0.68712443 0.5987658 0.70070004 0.60342383 0.67508453
  0.5861963 0.71233803 0.5883498 0.6545664 0.5989321 0.73540753
  0.59670407 0.6157591 0.6608456 0.7848064 0.65764266 0.58552766
  0.6743855 0.771508 0.69361067 0.6774536 0.73835945 0.704417 0.7370003
  0.6376372 0.74893826 0.80013925 0.6934137 0.5823745 0.8102464 0.6568272
  0.795352 0.6578046]
 [0.59580815 0.7097285 0.5821472 0.7263493 0.58262473 0.7022035 0.574626
  0.73952395 0.5650455 0.68390304 0.608833 0.75098544 0.59806705
  0.64254194 0.67888105 0.72613496 0.69026184 0.6269974 0.7374921
  0.69337064 0.77047366 0.6161722 0.7264496 0.71395725 0.72979665
  0.6509883 0.7458834 0.79824626 0.7198782 0.59339476 0.7967215 0.6874083
  0.79099375 0.6237595]
 [0.5540178 0.6850659 0.5415236 0.6967227 0.54193676 0.67463636
  0.54557556 0.7122915 0.5481274 0.6553926 0.6144418 0.735418 0.6097601
  0.6205303 0.69790787 0.7182584 0.70610434 0.6065579 0.76251763
  0.6884734 0.7707567 0.60895807 0.7406585 0.69269747 0.7436323 0.6361949
  0.7572376 0.79419035 0.7646064 0.58704185 0.7913161 0.6716158
  0.80358344 0.6434697]
 [0.55681646 0.675111 0.5427679 0.68757445 0.54358613 0.66514456
  0.5470591 0.7073636 0.5488 0.6483659 0.61177945 0.7277104 0.6012988
  0.61370856 0.6977126 0.71080095 0.68481845 0.5948082 0.7692225
  0.67898345 0.7610279 0.58506626 0.7422902 0.6867604 0.7413976
  0.62531227 0.7618861 0.79212123 0.76055926 0.5737951 0.80414885
  0.66019386 0.80577296 0.6424738]
 [0.53894526 0.66946274 0.52882016 0.6809517 0.5313081 0.6571279
  0.5393965 0.69730324 0.5440271 0.635476 0.60905087 0.723938 0.6152279
  0.61339194 0.6826873 0.7486338 0.6889768 0.5920788 0.70286953 0.7702743
  0.75463676 0.57155365 0.75584316 0.70912457 0.7559783 0.64518136
  0.76270163 0.7920685 0.76194036 0.5928368 0.8253389 0.67756796
  0.8335175 0.6508077]
 [0.54212177 0.6711187 0.53240275 0.6813275 0.5329777 0.65875643 0.538657
  0.6999356 0.5432301 0.64101684 0.60649943 0.7253795 0.60908324
  0.6135142 0.68712497 0.73629576 0.6906289 0.5995951 0.747696 0.7636841
  0.75384647 0.5852535 0.74002343 0.7025306 0.74152356 0.64052 0.7639585
  0.7525361 0.7594006 0.6004347 0.80506676 0.7206224 0.81344527 0.619529]
 [0.5445635 0.67175066 0.53317976 0.6838222 0.53350383 0.6602466
  0.5394254 0.70146245 0.5421991 0.64200866 0.606697 0.7255531 0.6084373
  0.6121776 0.68485105 0.7349974 0.68736476 0.5998542 0.7420258 0.7611714
  0.7532067 0.5849599 0.73923683 0.70067596 0.73975277 0.6393107
  0.7611113 0.7525323 0.7557299 0.60082674 0.8152212 0.7108831 0.8111424
  0.61820537]
 [0.54301316 0.6702739 0.5321701 0.68059963 0.53346443 0.6580503
  0.5374361 0.69915533 0.5431701 0.6401303 0.6068253 0.72556925
  0.60792065 0.6120687 0.6805434 0.73454356 0.6827627 0.59912795
  0.7398722 0.7657066 0.7486673 0.5867431 0.73828614 0.69859105
  0.74040055 0.6381331 0.7596927 0.76377827 0.76349926 0.6121478
  0.80329996 0.73016566 0.82460994 0.6475252]
 [0.54473025 0.67067295 0.53340924 0.6811191 0.534657 0.65848494
  0.53814566 0.69957906 0.5435476 0.6404344 0.6063465 0.72507906
  0.60760164 0.6116944 0.67920387 0.7339458 0.6801717 0.5992462 0.737934
  0.76602167 0.74581903 0.5867517 0.73620355 0.7002497 0.7389562
  0.63930047 0.759765 0.7645972 0.75692374 0.6093223 0.8082812 0.71958256
  0.8143211 0.66934437]
 [0.54670453 0.67207557 0.5353205 0.68293077 0.53641486 0.66017145
  0.53929144 0.7004729 0.54377466 0.64102423 0.607009 0.7255672 0.6083508
  0.6110564 0.67837185 0.73543334 0.6811169 0.6002745 0.7356526 0.7657466
  0.7465742 0.58679414 0.73557514 0.7012694 0.7396665 0.64051354
  0.7561923 0.7647533 0.7544488 0.5999269 0.79333425 0.73558223 0.8093863
