Sample,Label
  0.6484647]
 [0.5477987 0.67278016 0.5351273 0.68449974 0.53602237 0.66171795
  0.5395605 0.7013406 0.54332924 0.6418792 0.606033 0.72510755 0.60760707
  0.6107764 0.67400306 0.7351366 0.67845076 0.60035485 0.734528 0.7661101
  0.74417806 0.59157425 0.73776704 0.7015955 0.74115974 0.6394109
  0.7589295 0.76737547 0.7555428 0.5996119 0.81151396 0.7147779 0.8170705
  0.6728824]
 [0.5480989 0.67183614 0.5355744 0.68367463 0.5362998 0.6610247 0.53974
  0.70127386 0.54364645 0.6417692 0.6065531 0.725429 0.6080402 0.6107908
  0.6769412 0.7356333 0.6769583 0.59978825 0.73649627 0.76447403
  0.7449268 0.5869317 0.73539543 0.70011145 0.738904 0.6384813 0.75651836
  0.76451916 0.754388 0.59888875 0.8055366 0.716314 0.8095602 0.65036666]
 [0.54821473 0.67211515 0.5357612 0.6837981 0.53627765 0.66142696
  0.540204 0.70106286 0.543533 0.6418748 0.6066388 0.7252913 0.60874546
  0.61123747 0.677187 0.7356919 0.67880934 0.60011196 0.7361719
  0.76592356 0.74409366 0.5904335 0.734735 0.6998529 0.7380669 0.64133745
  0.7556841 0.7648378 0.7533496 0.60001504 0.7918478 0.7361453 0.8092127
  0.670184]]",Padamasana
"[[0.56614625 0.45965046 0.55293095 ... 0.16784535 0.78641963 0.175924]
 [0.58929753 0.60549337 0.5805631 ... 0.24593411 0.7586593 0.23627032]
 [0.70331955 0.8116763 0.71534896 ... 0.25567624 0.7509084 0.26122922]
 ...
 [0.71785796 0.8157788 0.7242114 ... 0.2505503 0.75825286 0.26038656]
 [0.7187433 0.8182274 0.7242809 ... 0.255601 0.7571761 0.26306567]
 [0.71946615 0.8156701 0.7242149 ... 0.252559 0.75914466 0.26203403]]",Shavasana
"[[0.24351352 0.734712 0.23264247 ... 0.76114774 0.7981383 0.62809616]
 [0.2498473 0.74517053 0.23727828 ... 0.76682174 0.7961817 0.69951946]
 [0.2548798 0.75741076 0.24207303 ... 0.7690037 0.79639035 0.703457]
 ...
 [0.24690664 0.74012846 0.23542309 ... 0.75202256 0.7431548 0.6988539]
 [0.24767867 0.7421756 0.2360562 ... 0.75101423 0.744969 0.69920915]
 [0.24980792 0.7348397 0.23881379 ... 0.74940217 0.7395755 0.7001957]]",Tadasana
"[[0.3708398 0.62254435 0.35274792 ... 0.9029268 0.8052393 0.6358768]
 [0.49892002 0.5814639 0.48024642 ... 0.90988934 0.79569453 0.6349314]
 [0.52430356 0.5684762 0.5042081 ... 0.90806717 0.79063576 0.63573605]
 ...
 [0.52304876 0.6026015 0.50200456 ... 0.91649336 0.8326969 0.59836334]
 [0.52099955 0.60100853 0.4995322 ... 0.9154839 0.83448476 0.59797865]
 [0.5066301 0.6075036 0.48297843 ... 0.91548324 0.8319218 0.5974457]]",Trikonasana
"[[0.26808304 0.8211294 0.25910568 ... 0.76234543 0.60088223 0.7391627]
 [0.2778358 0.85855466 0.26661438 ... 0.7670488 0.55282074 0.7135033]
 [0.2537699 0.82398623 0.24288641 ... 0.7594657 0.58235013 0.74015564]
 ...
 [0.25339785 0.8039915 0.24227454 ... 0.77565014 0.58761525 0.74025196]
 [0.24889512 0.7716265 0.23681705 ... 0.77392244 0.64821106 0.71605635]
 [0.24714491 0.6317275 0.23419589 ... 0.6365852 0.7843492 0.6509628]]",Vrikshasana
"[[0.65662384 0.69840145 0.6559289 ... 0.1990586 0.75701845 0.17247826]
 [0.63556063 0.7314764 0.6275038 ... 0.18533571 0.7648097 0.16729198]
 [0.7125776 0.7365576 0.7066527 ... 0.20259689 0.7466174 0.1856074]
 ...
 [0.51936007 0.6665524 0.51650447 ... 0.21441126 0.7701654 0.17791611]
 [0.52058756 0.66881317 0.5171803 ... 0.2130807 0.77125746 0.17614059]
 [0.52300024 0.66926175 0.5192056 ... 0.21534166 0.7703636 0.18005015]]",Bhujangasana
"[[0.56474745 0.5967919 0.55135554 ... 0.5781606 0.81408733 0.5570022]
 [0.5427944 0.550183 0.52947986 ... 0.54049635 0.75949484 0.52681184]
 [0.53532547 0.55277544 0.523302 ... 0.61088204 0.8062571 0.52604926]
 ...
 [0.5352708 0.5428815 0.52436787 ... 0.57346845 0.78988105 0.40286425]
 [0.53583324 0.5434327 0.5249025 ... 0.5736209 0.7902765 0.4020229]
 [0.53659326 0.54369205 0.52525616 ... 0.5778584 0.77431566 0.41158155]]",Padamasana
"[[0.6965626 0.27377856 0.7038624 ... 0.78494984 0.7681174 0.7927242]
 [0.7219459 0.27334812 0.7249379 ... 0.85621166 0.7700802 0.870767]
 [0.7201125 0.28060716 0.724953 ... 0.84361297 0.78466517 0.8523249]
 ...
 [0.72883105 0.16827035 0.72926325 ... 0.75214976 0.77522707 0.75787455]
 [0.72803897 0.16785833 0.7289918 ... 0.7502696 0.77452385 0.7584313]
 [0.7312055 0.16584039 0.7286578 ... 0.7528142 0.7753379 0.7581092]]",Shavasana
"[[0.17241931 0.588469 0.15841407 ... 0.60244673 0.8442245 0.5235117]
 [0.1710957 0.601328 0.15866302 ... 0.60149896 0.8317907 0.5364467]
 [0.1576343 0.60005873 0.14770329 ... 0.60988635 0.8344919 0.5328905]
 ...
 [0.17272969 0.6039851 0.16312078 ... 0.5977495 0.8470771 0.5413126]
 [0.16758698 0.6051587 0.1566903 ... 0.59945 0.84905976 0.542526]
 [0.16630001 0.60430557 0.15487903 ... 0.6001661 0.84803885 0.545427]]",Tadasana
"[[0.11504934 0.60512745 0.098219246 ... 0.7063394 0.7777802 0.51193595]
 [0.18684722 0.50604874 0.1641999 ... 0.77378064 0.79395103 0.39222336]
 [0.43596694 0.37525707 0.4162337 ... 0.7834771 0.7915204 0.3865956]
 ...
 [0.40509006 0.80579954 0.4188466 ... 0.7385689 0.7908002 0.36168274]
 [0.37632087 0.80273813 0.3918758 ... 0.73547083 0.7917974 0.36093482]
 [0.3761982 0.806536 0.39066923 ... 0.73400253 0.79100424 0.36129224]]",Trikonasana
"[[0.11277495 0.5230185 0.10029367 ... 0.55558985 0.73801225 0.4920393]
 [0.11706999 0.46537378 0.1016666 ... 0.56374943 0.74057895 0.4864492]
 [0.108171225 0.4592478 0.09464552 ... 0.5040944 0.7329172 0.48598835]
 ...
 [0.12590316 0.63406664 0.114155106 ... 0.57683194 0.57214445 0.55774856]
 [0.12642975 0.63316745 0.11463313 ... 0.5766742 0.57281905 0.55798346]
 [0.11428204 0.6087518 0.10412819 ... 0.5767644 0.7248618 0.49168423]]",Vrikshasana
"[[0.7863224 0.7368663 0.7748435 ... 0.2070759 0.7692096 0.18339625]
 [0.7753575 0.7479282 0.7611561 ... 0.2036587 0.7685947 0.18491557]
 [0.65775687 0.7286528 0.64283633 ... 0.21220447 0.769853 0.18500349]
 ...
 [0.5806235 0.63270843 0.5660474 ... 0.20929365 0.7739545 0.18519717]
 [0.5777771 0.643726 0.56344086 ... 0.21254937 0.7714659 0.18489113]
 [0.57587874 0.65475464 0.5596461 ... 0.21264681 0.77087927 0.18888785]]",Bhujangasana
"[[0.550602 0.46384957 0.53961 ... 0.4815256 0.8061194 0.41862544]
 [0.55052364 0.46407855 0.5395779 ... 0.48191902 0.8060841 0.41869766]
 [0.5504146 0.4645955 0.53983164 ... 0.48287416 0.80703926 0.4193148]
 ...
 [0.55397093 0.4711291 0.5426933 ... 0.46117905 0.79641324 0.42119858]
 [0.5545745 0.46961954 0.5431577 ... 0.46460843 0.7952135 0.42142802]
 [0.5548426 0.4702006 0.5431821 ... 0.48547456 0.7928088 0.42210674]]",Padamasana
"[[0.7169076 0.6694252 0.7278112 ... 0.1343176 0.76640284 0.13692522]
 [0.71601516 0.66847736 0.72717166 ... 0.13443121 0.7664156 0.13731001]
 [0.71621263 0.6682664 0.72724384 ... 0.1353211 0.76733464 0.13808377]
 ...
 [0.7153508 0.6693255 0.7263348 ... 0.1341257 0.76731575 0.13682543]
 [0.7158461 0.66970897 0.72643137 ... 0.13743839 0.76658547 0.13943411]
 [0.7165077 0.66972387 0.7273605 ... 0.13607408 0.76694185 0.13819647]]",Shavasana
"[[0.24883942 0.54683113 0.2349158 ... 0.55069506 0.8762006 0.51889795]
 [0.26889238 0.53591704 0.25407493 ... 0.55261725 0.87565655 0.516216]
 [0.22299446 0.5315684 0.21057846 ... 0.55571127 0.866912 0.50879043]
 ...
 [0.23034102 0.5362263 0.21784805 ... 0.5626917 0.86371857 0.5199517]
 [0.22642875 0.5377525 0.21443826 ... 0.56279284 0.86301064 0.5212791]
 [0.23405932 0.5405271 0.22166261 ... 0.5568234 0.86550677 0.51262826]]",Tadasana
"[[0.459621 0.67584825 0.47203442 ... 0.64940524 0.84458405 0.36841398]
 [0.46180508 0.671432 0.48411155 ... 0.64965785 0.8394804 0.36907202]
 [0.4606619 0.67082757 0.48250544 ... 0.64968765 0.8390748 0.36912188]
 ...
 [0.4507281 0.35851032 0.43581876 ... 0.65898293 0.8385016 0.37663537]
 [0.4499524 0.35842958 0.435361 ... 0.65922177 0.8394015 0.37653688]
 [0.44445992 0.35987362 0.43006697 ... 0.65934783 0.8397606 0.37475717]]",Trikonasana
"[[0.28173247 0.6203084 0.26880947 ... 0.5802783 0.662167 0.55908984]
 [0.28074774 0.61730236 0.26765195 ... 0.5786337 0.664324 0.5603678]
 [0.2807524 0.617279 0.26729733 ... 0.5799578 0.6635388 0.5626822]
 ...
 [0.28291148 0.49650154 0.26970798 ... 0.5261736 0.81491375 0.5116563]
 [0.28494492 0.49776772 0.27172056 ... 0.52534884 0.813991 0.51237464]
 [0.28562048 0.49709272 0.27233505 ... 0.5270496 0.81507635 0.51229185]]",Vrikshasana
"[[0.7703334 0.731904 0.7570584 ... 0.1966035 0.7482923 0.1858733]
 [0.7706738 0.73692614 0.75373 ... 0.20371743 0.75473887 0.19035429]
 [0.5891357 0.6509146 0.57728493 ... 0.1942301 0.7472089 0.18248674]
 ...
 [0.58334017 0.6497489 0.56968915 ... 0.19352949 0.76191723 0.17601474]
 [0.584417 0.6486716 0.5713015 ... 0.19365288 0.76063794 0.17581499]
 [0.58405125 0.64935815 0.5708177 ... 0.19363777 0.76115227 0.17420086]]",Bhujangasana
"[[0.5809743 0.60225594 0.567548 ... 0.5806613 0.87131983 0.4680844]
 [0.5847412 0.6010648 0.5694008 ... 0.59893405 0.8591486 0.47761497]
 [0.5796564 0.6012821 0.5661569 ... 0.59917885 0.86417395 0.59538496]
 ...
 [0.5871948 0.59853286 0.5704277 ... 0.60246754 0.86911917 0.47016913]
 [0.58802044 0.59790635 0.5707634 ... 0.60231984 0.8612391 0.5960374]
 [0.588666 0.5970659 0.57131034 ... 0.60326046 0.8602192 0.5980495]]",Padamasana
"[[0.7481511 0.7471149 0.74761003 ... 0.22759621 0.7636647 0.23198985]
 [0.7553135 0.7474161 0.75461805 ... 0.2280982 0.7628476 0.23359354]
 [0.760369 0.74789613 0.7580085 ... 0.22817284 0.7632304 0.23251766]
 ...
 [0.7563403 0.75498915 0.7538701 ... 0.2277659 0.7629091 0.23153217]
 [0.7575676 0.76004666 0.75539505 ... 0.22861557 0.7672349 0.22566919]
 [0.75854343 0.56190836 0.7600068 ... 0.22748981 0.7696617 0.23398896]]",Shavasana
"[[0.24090381 0.66818684 0.2301301 ... 0.6819691 0.8544113 0.6072462]
 [0.22154796 0.6734722 0.20933782 ... 0.6901542 0.8498405 0.6053053]
 [0.22032477 0.67998314 0.2085886 ... 0.6849915 0.85021126 0.61223555]
 ...
 [0.22092009 0.6640666 0.21055017 ... 0.6853583 0.85648346 0.60564905]
 [0.2228821 0.6678557 0.21182184 ... 0.68415177 0.85504997 0.6063741]
 [0.22162077 0.6659618 0.21151271 ... 0.68464243 0.85657704 0.6074073]]",Tadasana
"[[0.49420878 0.46074343 0.47791243 ... 0.76254106 0.8789094 0.49767494]
 [0.5247179 0.47070837 0.50306743 ... 0.7650789 0.8789034 0.49442846]
 [0.4973611 0.47640565 0.47888455 ... 0.7631779 0.8799202 0.494215]
 ...
 [0.5176222 0.8212994 0.51978 ... 0.75578094 0.8867482 0.4769794]
 [0.51201814 0.82019365 0.51516885 ... 0.75454175 0.88665277 0.4767576]
 [0.5072414 0.81718713 0.51098675 ... 0.754849 0.88536555 0.47820118]]",Trikonasana
"[[0.25585064 0.6134663 0.2434192 ... 0.638558 0.84607714 0.62446785]
 [0.25477386 0.6198713 0.24529518 ... 0.759255 0.846796 0.62455374]
 [0.25477502 0.6211105 0.24595307 ... 0.7510135 0.8473888 0.6261483]
 ...
 [0.2522254 0.61131 0.24326141 ... 0.73820394 0.846534 0.6236831]
 [0.25058427 0.61758524 0.24284972 ... 0.6379098 0.84776396 0.6231517]
 [0.25080943 0.6138007 0.24280758 ... 0.7377383 0.84776306 0.62375593]]",Vrikshasana
"[[0.6864472 0.72971785 0.67491406 ... 0.27004054 0.7625817 0.24806091]
 [0.60626185 0.71415955 0.5916887 ... 0.26704392 0.7754669 0.2423482]
 [0.60560244 0.7182233 0.5883682 ... 0.26898217 0.7744468 0.24375531]
 ...
 [0.6182755 0.7100197 0.6006038 ... 0.25783312 0.79370296 0.22745632]
 [0.6151858 0.7002052 0.5990697 ... 0.25635776 0.7930053 0.22693981]
 [0.61487174 0.7003893 0.5987811 ... 0.26071763 0.7925279 0.22961107]]",Bhujangasana
"[[0.5925474 0.55449224 0.58019173 ... 0.47327453 0.8601216 0.5401185]
 [0.58912015 0.5614557 0.57386696 ... 0.5145873 0.8720484 0.50545526]
 [0.57574004 0.55496246 0.5637347 ... 0.5431944 0.8639708 0.49212545]
 ...
 [0.58568597 0.5633768 0.5719996 ... 0.5851754 0.8608463 0.5234168]
 [0.5873036 0.5622605 0.5732885 ... 0.58716774 0.8588766 0.52080613]
 [0.5858016 0.55818915 0.57218695 ... 0.57192963 0.85600734 0.51618856]]",Padamasana
"[[0.74937856 0.74833304 0.75766236 ... 0.2036144 0.78929603 0.21313405]
 [0.77624 0.7627069 0.79218525 ... 0.19986722 0.7872058 0.21885613]
 [0.74499315 0.74690187 0.7542104 ... 0.20594181 0.78997314 0.21254127]
 ...
 [0.75418675 0.75397223 0.7643599 ... 0.20809802 0.7862448 0.22219145]
 [0.778334 0.7638185 0.79209656 ... 0.20978576 0.7895105 0.22491898]
 [0.6517654 0.58189875 0.63703966 ... 0.23711415 0.86485535 0.50849885]]",Shavasana
"[[0.30133453 0.68471855 0.28975275 ... 0.6984724 0.9110445 0.62320834]
 [0.27829155 0.6772737 0.26534286 ... 0.70417494 0.91228086 0.6185904]
 [0.28588274 0.6731012 0.27217415 ... 0.70226693 0.91136163 0.6207211]
 ...
 [0.28728917 0.69083846 0.2732767 ... 0.7021501 0.91407824 0.62183607]
 [0.28295717 0.68344486 0.26994854 ... 0.70297426 0.91435444 0.61947614]
 [0.27951634 0.67421126 0.26856282 ... 0.70190907 0.91304034 0.6188415]]",Tadasana
"[[0.4552511 0.78935295 0.46897486 ... 0.7230246 0.9005323 0.5072066]
 [0.51203287 0.8044757 0.5248832 ... 0.7219955 0.9048042 0.5042554]
 [0.48988748 0.7969961 0.50683147 ... 0.72394294 0.9026836 0.50436264]
 ...
 [0.45162636 0.48430282 0.4336942 ... 0.72634894 0.90249836 0.510899]
 [0.44663474 0.5036946 0.42887723 ... 0.72714555 0.9047452 0.51015234]
 [0.46208334 0.4988243 0.44632912 ... 0.72602916 0.9010349 0.51206017]]",Trikonasana
"[[0.30593845 0.57814914 0.29068005 ... 0.56396127 0.8861826 0.508605]
 [0.3116861 0.6403646 0.29946423 ... 0.57475007 0.71202916 0.55701625]
 [0.34899098 0.6308706 0.3332082 ... 0.58968985 0.8362249 0.680782]
 ...
 [0.29690674 0.48977137 0.2847219 ... 0.5330926 0.90914 0.5147464]
 [0.29687795 0.49180162 0.28594056 ... 0.5340417 0.9087498 0.51366657]
 [0.30634382 0.50963736 0.29256353 ... 0.5341697 0.9112719 0.51904696]]",Vrikshasana
"[[0.5872318 0.72445387 0.5719218 ... 0.21048242 0.7866855 0.18857369]
 [0.5859567 0.7250665 0.5709312 ... 0.21188702 0.7845933 0.18967798]
 [0.58461267 0.7250576 0.56985027 ... 0.21125068 0.78826094 0.18836309]
 ...
 [0.5802957 0.70182574 0.5625912 ... 0.2087858 0.7725879 0.19575538]
 [0.5797806 0.6996745 0.5609333 ... 0.20804302 0.7732845 0.19445923]
 [0.5811696 0.710936 0.564392 ... 0.20873277 0.77243906 0.19559653]]",Bhujangasana
"[[0.59207165 0.5497147 0.5762029 ... 0.5195758 0.865864 0.49469557]
 [0.5979523 0.55984795 0.58246315 ... 0.5129676 0.877006 0.40483415]
 [0.5966682 0.56124586 0.581978 ... 0.50447756 0.8780741 0.40561578]
 ...
 [0.59545493 0.5560856 0.5818867 ... 0.52012795 0.86328536 0.49678227]
 [0.59556323 0.5537534 0.58225435 ... 0.5200057 0.8616197 0.49601573]
 [0.59650797 0.5495712 0.5828916 ... 0.51859194 0.86581886 0.4929824]]",Padamasana
"[[0.7318265 0.7251414 0.7401206 ... 0.12653024 0.7845917 0.1427416]
 [0.73278993 0.7186478 0.7395054 ... 0.12873915 0.7857529 0.14274254]
 [0.7357401 0.72082186 0.7448273 ... 0.12682155 0.7844106 0.1364481]
 ...
 [0.72898054 0.708662 0.73979926 ... 0.13098498 0.78444326 0.14528386]
 [0.7256934 0.701075 0.73418295 ... 0.12342921 0.78443325 0.136315]
 [0.73641944 0.71758395 0.74365705 ... 0.1260503 0.7860165 0.13219383]]",Shavasana
"[[0.22068098 0.5899725 0.20870806 ... 0.60562885 0.8145963 0.54130906]
 [0.21960972 0.5854189 0.20830667 ... 0.60539097 0.8154668 0.54011625]
 [0.22068897 0.58569103 0.20980294 ... 0.6062047 0.81698525 0.5405456]
 ...
 [0.22788934 0.5778643 0.21624598 ... 0.60563916 0.81688577 0.54194015]
 [0.22802442 0.57835513 0.21637155 ... 0.605487 0.8176818 0.54206866]
 [0.23055895 0.58345187 0.21856877 ... 0.60579133 0.819054 0.54356307]]",Tadasana
"[[0.46826681 0.35121042 0.4494618 ... 0.71562654 0.82402056 0.31688362]
 [0.471123 0.3509394 0.45074052 ... 0.71547186 0.8239312 0.31867445]
 [0.47116655 0.34612554 0.45088866 ... 0.7157548 0.8309615 0.31871784]
 ...
 [0.5212563 0.67531234 0.5289942 ... 0.64083606 0.82554764 0.28366694]
 [0.52261245 0.6751423 0.52885914 ... 0.64705265 0.8290098 0.2824676]
 [0.5237484 0.67653316 0.530341 ... 0.644085 0.8284269 0.28466263]]",Trikonasana
"[[0.25303715 0.60349995 0.24226151 ... 0.5655581 0.6157901 0.5512662]
 [0.24853297 0.61220354 0.2384845 ... 0.5660982 0.6172347 0.55504566]
 [0.2510262 0.62014383 0.24198993 ... 0.5650549 0.6145874 0.5513565]
 ...
 [0.2515627 0.55043036 0.2420108 ... 0.56266993 0.84784186 0.5357682]
 [0.25136867 0.5578787 0.2423243 ... 0.56610966 0.8459602 0.54699135]
 [0.25060835 0.5536367 0.239262 ... 0.5660649 0.84206283 0.54663146]]",Vrikshasana
